question,answer
круг 14 1.5 тонны,eydudW1fbWF0JzogJzE2NDMnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTQgMS4xINC8INGB0YIgMycsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMS41MDAnfQ==
круг 18 1.7 тонны,eydudW1fbWF0JzogJzE3NDYnLCAnbmFtZV9tYXQnOiAnINCf0YDQvtGE0L3QsNGB0YLQuNC7INCe0KYg0KEgNDQgMC43IDEuMDQ3INC8IDMg0LwnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNzAwJ30=
арматура 8 4 тонны,eydudW1fbWF0JzogJzM0JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTAgNi40INC8INCQLUlJSSAzNSDQk9ChIDU3ODEtODInLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzQuMDAwJ30=
арматура 6 1.5 тонны,eydudW1fbWF0JzogJzYnLCAnbmFtZV9tYXQnOiAn0JrQoNCj0JNf0J3QldCg0JYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzEuNTAwJ30=
швеллер 10 кол во по 6,eydudW1fbWF0JzogJzU4MTgnLCAnbmFtZV9tYXQnOiAnINCf0LvQsNC90LrQsCDRgdC90LXQs9C+0LfQsNC00LXRgNC20LDRgtC10LvRjyA5NSA2NSAwLjQ1IDIg0Lwg0J/QrSDQsiDQv9C70LXQvdC60LUgUkFMIDUwMDUg0YHQuNCz0L3QsNC70YzQvdC+LdGB0LjQvdC40Lkg0JotNTAzJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzE2LjAwMCd9
лист 3 гк,eydudW1fbWF0JzogJzE3MzU2JywgJ25hbWVfbWF0JzogJ9Cb0LXQvdGC0LAg0L/QvtC70LjQvNC10YAgMC42NSA0NyDQn9CtIFJBTCA5MDAzINGB0LjQs9C90LDQu9GM0L3Qvi3QsdC10LvRi9C5JywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMy4wMDAnfQ==
лист 4,eydudW1fbWF0JzogJzE3NjE4JywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDQg0KQgMiDRgdGCIDMgMTQ2MzcnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcyLjAwMCd9
труба 50 50 2,eydudW1fbWF0JzogJzgxNzAnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDAuNjUgMTM3INC90LXQutC+0L3QtNC40YbQuNGPJywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMTMuMDAwJ30=
лист 0.7,eydudW1fbWF0JzogJzc3NjcwJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINClL9CaIDAuNyAxLjI1INC8IDIuNSDQvCAwOCDQotCjJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzYuMDAwJ30=
уголок 40 40 3 12 по 6,eydudW1fbWF0JzogJzc4NDIwJywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiA0MCA0MCAzIDEyINC8INGB0YIgMycsICd0cnVlX2VpJzogJ9CcJywgJ3RydWVfdmFsdWUnOiAnNi4wMDAnfQ==
труба проф 40 60 3 24 пог,eydudW1fbWF0JzogJzg4NzEzJywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YQgNjAgNDAgMyDQotCjIDAwNC3QkCcsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzI0LjAwMCd9
балка 18 б 2,eydudW1fbWF0JzogJzg2MDc1JywgJ25hbWVfbWF0JzogJ9CR0LDQu9C60LAgMTgg0JEgMiAxMiDQvCDRgdGCIDMg0L/RgSA1L9GB0L8gNScsICd0cnVlX2VpJzogJ9CiJywgJ3RydWVfdmFsdWUnOiAnMy4zOTAnfQ==
сталь арматурная 16 а 500 с требуется к 20.02.2024 id позиции 7741446,eydudW1fbWF0JzogJzk1NjY2JywgJ25hbWVfbWF0JzogJ9CQ0YDQvNCw0YLRg9GA0LAgMTYgMTEuNyDQvCDQkCA1MDAg0KEgMzQwMjgtMTYnLCAndHJ1ZV9laSc6ICfQoicsICd0cnVlX3ZhbHVlJzogJzIwLjAwMCd9
уголок стальной 50 50 6 стенку можно больше 6,eydudW1fbWF0JzogJzY5MzQyJywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiDQs9C90YPRgtGL0LkgNTAgNTAgNiDRgdGCIDMg0L/RgSA1L9GB0L8gNScsICd0cnVlX2VpJzogJ9CcJywgJ3RydWVfdmFsdWUnOiAnNi4wMDAnfQ==
труба проф 40 20,eydudW1fbWF0JzogJzgxMjAnLCAnbmFtZV9tYXQnOiAn0JHQsNC70LrQsCDQndCb0JMgMjUg0KggMSAxMiDQvCAwOSDQsyAyINGBLTE1JywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICczLjAwMCd9
проволока вязальная,eydudW1fbWF0JzogJzk0OTk4JywgJ25hbWVfbWF0JzogJ9Cf0YDQvtCy0L7Qu9C+0LrQsCDQsNC70Y7QvCAyLjAnLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnNS4wMDAnfQ==
арматура аiii 12 по 11.7,eydudW1fbWF0JzogJzE3NicsICduYW1lX21hdCc6ICfQmtCg0KPQk1/QndCV0KDQlicsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICc2OC4wMDAnfQ==
швеллер 12 п 12,eydudW1fbWF0JzogJzU4MzEnLCAnbmFtZV9tYXQnOiAnINCf0LvQsNC90LrQsCDRgtC+0YDRhtC10LLQsNGPIDk1IDEyMCAxNSAwLjQgMiDQvCDQn9CtIFJBTCAzMDA1INC60YDQsNGB0L3QvtC1INCy0LjQvdC+INCaLTUwNicsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
уголок 35 35 4 ст 3 16,eydudW1fbWF0JzogJzg3ODgnLCAnbmFtZV9tYXQnOiAn0JvQuNGB0YIg0J3Qm9CTIDE0IDEuNSDQnCA2LjIg0Jwg0KHQoCAwOSDQkyAyINChIDE5MjgxJywgJ3RydWVfZWknOiAn0JwnLCAndHJ1ZV92YWx1ZSc6ICcxNi4wMDAnfQ==
уголок 50 50 5 ст 3 120 если 12 ые то резать попола,eydudW1fbWF0JzogJzg4ODEnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMTQwINCd0JXQnNCV0KAgOSDQpdChJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
лист 3 ст 3 18 2 1.5 6.0 2,eydudW1fbWF0JzogJzc4ODAzJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDMgMSDQnCAyINCcINCh0KAgNjAg0KEgMiDQkCDQotCjJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
сетка 20 2.0 5336,eydudW1fbWF0JzogJzExMDUzJywgJ25hbWVfbWF0JzogJ9Cb0LXQvdGC0LAg0J7QpiAyLjAgMzY2JywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzM2LjAwMCd9
профиль 45 б 1 84 .,eydudW1fbWF0JzogJzEwMDUwMicsICduYW1lX21hdCc6ICfQn9GA0L7RhNC40LvRjCA1MCA0MCAyNSAxLjAgMi41INCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzEwLjAwMCd9
профиль 25 к 2 108 .,eydudW1fbWF0JzogJzEwMDUwMicsICduYW1lX21hdCc6ICfQn9GA0L7RhNC40LvRjCA1MCA0MCAyNSAxLjAgMi41INCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzkuMDAwJ30=
профиль 30 ш 1 12 .,eydudW1fbWF0JzogJzYwMzgyJywgJ25hbWVfbWF0JzogJ9Cf0YDQvtGE0LjQu9GMINGE0LDRgdCw0LTQvdGL0Lkg0JDQoCA2IDEyIDEyIDIwIDAuOCAzINCcJywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
профиль 25 ш 1 72 .,eydudW1fbWF0JzogJzEwMDUwMicsICduYW1lX21hdCc6ICfQn9GA0L7RhNC40LvRjCA1MCA0MCAyNSAxLjAgMi41INCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzYuMDAwJ30=
профиль 20 б 1 180 .,eydudW1fbWF0JzogJzkzNTE4JywgJ25hbWVfbWF0JzogJ9ChLdC/0YDQvtGE0LjQu9GMIDIwMCA2MCAxNSAzIDEyINCcJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzE1LjAwMCd9
труба 160 160 4 .,eydudW1fbWF0JzogJzk5NDg1JywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YQg0J7QpiAxNjAgMTYwIDQg0J7QpiDQotCjJywgJ3RydWVfZWknOiAn0JwnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
труба 100 100 4 .,eydudW1fbWF0JzogJzkwMDM1JywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gMTAwIDEwMCA0INCi0KMnLCAndHJ1ZV9laSc6ICfQnCcsICd0cnVlX3ZhbHVlJzogJzcyLjAwMCd9
труба 80 80 4 .,eydudW1fbWF0JzogJzEwMDA0OScsICduYW1lX21hdCc6ICfQotGA0YPQsdCwINCe0KYgODAgNCDQk9Ce0KHQoicsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICcyLjAwMCd9
уголок 80 80 6 .,eydudW1fbWF0JzogJzY5MzkzJywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiDQs9C90YPRgtGL0LkgODAgODAgNiDQodCiIDMg0J/QoSA1L9Ch0J8gNScsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICc1LjAwMCd9
уголок 75 50 5 .,eydudW1fbWF0JzogJzY5NDM0JywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiDQs9C90YPRgtGL0Lkg0L3Qu9CzIDc1IDUwIDUgMDkg0JMgMiDQoScsICd0cnVlX2VpJzogJ9Ca0JMnLCAndHJ1ZV92YWx1ZSc6ICc1LjAwMCd9
уголок 160 100 10 .,eydudW1fbWF0JzogJzg1OTYnLCAnbmFtZV9tYXQnOiAn0JDRgNC80LDRgtGD0YDQsCAxNCAyLjkyINCcINCQIDUwMCBDIDUyNTQ0LTA2JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
квадрат 50 50 69,eydudW1fbWF0JzogJzExMTA1NCcsICduYW1lX21hdCc6ICfQmtCy0LDQtNGA0LDRgiA1MCA0MCDQpSAyNTkxJywgJ3RydWVfZWknOiAn0JwnLCAndHJ1ZV92YWx1ZSc6ICc2OS4wMDAnfQ==
лист 2 ст 3,eydudW1fbWF0JzogJzcyNTQnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDEuMiA2MjEnLCAndHJ1ZV9laSc6ICfQnCcsICd0cnVlX3ZhbHVlJzogJzguMzAwJ30=
лист 3 ст 3,eydudW1fbWF0JzogJzE4MzYwJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDY1INCkIDIg0KHQoiAzNSDQotCjJywgJ3RydWVfZWknOiAn0JwyJywgJ3RydWVfdmFsdWUnOiAnNS4wMDAnfQ==
лист 4 ст 3,eydudW1fbWF0JzogJzE4MzYwJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDY1INCkIDIg0KHQoiAzNSDQotCjJywgJ3RydWVfZWknOiAn0JrQkycsICd0cnVlX3ZhbHVlJzogJzIuMDAwJ30=
круг 24 ст 35 1 3,eydudW1fbWF0JzogJzE4ODAnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMjQgNC41INCcINCh0KIgMzUnLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
круг 30 ст 35 1 3,eydudW1fbWF0JzogJzIwMjEnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMzAgNSDQnCDQodCiIDM1JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
труба вгп 32 3.2 3,eydudW1fbWF0JzogJzcyNTQnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDEuMiA2MjEnLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
уголок 50 4 ст 3 6,eydudW1fbWF0JzogJzExNzA0MScsICduYW1lX21hdCc6ICfQo9Cz0L7Qu9C+0LogNTAgNTAgNCA2INCcINChIDI1NSA4NTA5JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
уголок 70 8 ст 3 6,eydudW1fbWF0JzogJzg1NDI2JywgJ25hbWVfbWF0JzogJ9Cj0LPQvtC70L7QuiA3MCA3MCA4IDEyINCcINCh0KIgMyDQn9ChIDUv0KHQnyA1IDg1MDknLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба проф 40 40 3 по 6,eydudW1fbWF0JzogJzgxNDYnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQsNC70Y7QvNC40L3QuNC10LLQsNGPIDIuMCAxNjAnLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnMjAuMDAwJ30=
лист горячекатаный 4 1.5 6 ст 3 пс 5 сп 5,eydudW1fbWF0JzogJzE3NzQzJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDQgMS41INCcIDYg0Jwg0KHQoiAzINCf0KEgNS/QodCfIDUgMTQ2MzcnLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
лист горячекатаный 6 2 6 ст 3 пс 5 сп 5 14637,eydudW1fbWF0JzogJzE4MzI1JywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDYgMiDQnCA2INCcINCh0KIgMyDQn9ChIDUv0KHQnyA1IDE0NjM3JywgJ3RydWVfZWknOiAn0KjQoicsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
полоса 3 20 ст 3 пссп по 6,eydudW1fbWF0JzogJzgwODYwJywgJ25hbWVfbWF0JzogJ9Cf0L7Qu9C+0YHQsCAzIDIwINCh0KIgMyDQn9ChL9Ch0J8g0KLQoycsICd0cnVlX2VpJzogJ9CcJywgJ3RydWVfdmFsdWUnOiAnMTIuMDAwJ30=
уголок 63 5 ст 3 по 12 с резкой попола,eydudW1fbWF0JzogJzExNzA0MycsICduYW1lX21hdCc6ICfQo9Cz0L7Qu9C+0LogNjMgNjMgNSAxMiDQnCDQoSAyNTUgODUwOScsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcyLjAwMCd9
швеллер 20 п ст 255 245,eydudW1fbWF0JzogJzg2MTk0JywgJ25hbWVfbWF0JzogJ9Co0LLQtdC70LvQtdGAIDIwINCfIDEyINCcINChIDI1NSA4MjQwJywgJ3RydWVfZWknOiAn0KInLCAndHJ1ZV92YWx1ZSc6ICc1NC4wMDAnfQ==
сетка d 4 вр 1 100 100 2 3,eydudW1fbWF0JzogJzY2MTcxJywgJ25hbWVfbWF0JzogJ9Ch0LXRgtC60LAg0LDRgNC80LDRgtGD0YDQvdCw0Y8gKNC8IDIpIDQg0JLQoCAxIDEwMCAxMDAgMiDQnCAzINCcIDUwLzUnLCAndHJ1ZV9laSc6ICfQmtCTJywgJ3RydWVfdmFsdWUnOiAnNS4wMDAnfQ==
полоса 50 6 углерод,eydudW1fbWF0JzogJzUxOTgnLCAnbmFtZV9tYXQnOiAn0J/QodCfINCa0KDQntCS0JvQryDQn9Cg0J7Qp9CY0JUnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
профиль замкнутый сварной 120 120 5 легир,eydudW1fbWF0JzogJzgyNTQnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgNDggNiDQnCAwOSDQkyAyINChJywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба проф 80 5,eydudW1fbWF0JzogJzc3MDQwJywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gODAgODAgNSDQk9Ce0KHQoicsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
труба проф 100 5,eydudW1fbWF0JzogJzc5MDYnLCAnbmFtZV9tYXQnOiAn0JDRgNC80LDRgtGD0YDQsCDRgtC10YDQvCAxMiAxMC4yINCcINCQ0KIgODAwIDEwODg0LTk0JywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба проф 140 8,eydudW1fbWF0JzogJzc2OTcyJywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gMTQwIDE0MCA4INCT0J7QodCiJywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба проф 180 140 8,eydudW1fbWF0JzogJzk3NTE3JywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gMTgwIDE0MCA4INCT0J7QodCiJywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
швеллер 140 60 3,eydudW1fbWF0JzogJzYzODgnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDEuNDUgMjkxJywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
швеллер 180 100 6,eydudW1fbWF0JzogJzY0NTInLCAnbmFtZV9tYXQnOiAn0K3Qu9C10LrRgtGA0L7QtNGLIDMg0KLQnNCbLTEg0KMg0J7QodCd0J7QktCd0J7QmScsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
балка 30 ш 1,eydudW1fbWF0JzogJzk0NCcsICduYW1lX21hdCc6ICfQkNGA0LzQsNGC0YPRgNCwIDIwINCf0J7QlCDQl9CQ0JogQdCSIDQwMCBDINCi0KMgMTQtMS01MjUnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
балка 40 ш 1,eydudW1fbWF0JzogJzEwNzQnLCAnbmFtZV9tYXQnOiAn0JHQsNC70LrQsCA0MCDQqCAxIDEyINCcINChIDI1NSA1NzgzNycsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
труба вгп 25 ду 3.2 6 10,eydudW1fbWF0JzogJzcyNDUnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMjEwIDMg0JwgNDAg0KUnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
труба 25 3.2 ст 2 2 пс,eydudW1fbWF0JzogJzcyNDUnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMgMjEwIDMg0JwgNDAg0KUnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
труба 32 3.0 бш,eydudW1fbWF0JzogJzcyNTQnLCAnbmFtZV9tYXQnOiAn0JvQtdC90YLQsCDQntCmIDEuMiA2MjEnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
труба 100 100 5 с 10 144 п,eydudW1fbWF0JzogJzc5MDYnLCAnbmFtZV9tYXQnOiAn0JDRgNC80LDRgtGD0YDQsCDRgtC10YDQvCAxMiAxMC4yINCcINCQ0KIgODAwIDEwODg0LTk0JywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба 114 5 ст 20 8732 24,eydudW1fbWF0JzogJzY4ODAnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMg0L3QtdGA0LbQsNCy0LXRjtGJ0LjQuSAxMiAzMDQnLCAndHJ1ZV9laSc6ICcnLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
труба 50 25 3 216 п,eydudW1fbWF0JzogJzgxNTcnLCAnbmFtZV9tYXQnOiAn0JrRgNGD0LMg0L3QtdGA0LbQsNCy0LXRjtGJ0LjQuSAyNSAzMCDQpSAxMycsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
труба 50 50 3 216 п,eydudW1fbWF0JzogJzgxNzInLCAnbmFtZV9tYXQnOiAn0JvQuNGB0YIg0JMv0JogNTAgMS41INCcIDYuMyDQnCDQodCgINCh0KIgMyDQn9ChIDUv0KHQnyA1IDE0NjM3JywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба п двубавр 25 ш 1 09 г 2 с 72 п,eydudW1fbWF0JzogJzg2MScsICduYW1lX21hdCc6ICfQkNGA0LzQsNGC0YPRgNCwIDEyIDYuMzcg0Jwg0JAgODAwIDM0MDI4LTE2JywgJ3RydWVfZWknOiAnJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
труба 80 80 5 ст 10 60 п,eydudW1fbWF0JzogJzc3MDQwJywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gODAgODAgNSDQk9Ce0KHQoicsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
труба 80 80 6 ст 10 18,eydudW1fbWF0JzogJzc2OTcxJywgJ25hbWVfbWF0JzogJ9Ci0YDRg9Cx0LAg0L/RgNC+0YTQuNC70YzQvdCw0Y8gODAgODAgNiDQk9Ce0KHQoicsICd0cnVlX2VpJzogJycsICd0cnVlX3ZhbHVlJzogJzEuMDAwJ30=
круг 16 ст 09 г 2 с 6,eydudW1fbWF0JzogJzk2MTg3JywgJ25hbWVfbWF0JzogJ9Ca0YDRg9CzIDE2IDYg0JwgMDkg0JMgMiDQoScsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
круг 40 ст 09 г 2 с 6,eydudW1fbWF0JzogJzk3NDU5JywgJ25hbWVfbWF0JzogJ9Ca0YDRg9CzIDQwIDYg0JwgMDkg0JMgMiDQoScsICd0cnVlX2VpJzogJ9Co0KInLCAndHJ1ZV92YWx1ZSc6ICcxLjAwMCd9
круг 50 ст 09 г 2 с 6,eydudW1fbWF0JzogJzEwMjg0MScsICduYW1lX21hdCc6ICfQmtGA0YPQsyA1MCA2INCcIDA5INCTIDIg0KEnLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
лист 8 1.5 3.0,eydudW1fbWF0JzogJzE4NDQyJywgJ25hbWVfbWF0JzogJ9Cb0LjRgdGCINCTL9CaIDggMS41INCcIDMg0Jwg0KHQoiAzINCf0KEgNS/QodCfIDUgMTQ2MzcnLCAndHJ1ZV9laSc6ICfQqNCiJywgJ3RydWVfdmFsdWUnOiAnMS4wMDAnfQ==
